preco,ativo,moeda,horario_coleta,inserido_em
76.72000122070312,SI=F,USD,,2026-02-18 10:49:52.411829
67129.205,BTC,USD,2026-02-18 10:50:23.255285,
4982.2001953125,GC=F,USD,,2026-02-18 10:50:23.438103
63.7599983215332,CL=F,USD,,2026-02-18 10:50:23.641049
76.74500274658203,SI=F,USD,,2026-02-18 10:50:23.818047
67134.285,BTC,USD,2026-02-18 10:50:54.619976,
4979.2001953125,GC=F,USD,,2026-02-18 10:50:54.793408
63.7599983215332,CL=F,USD,,2026-02-18 10:50:54.972158
76.66500091552734,SI=F,USD,,2026-02-18 10:50:55.148597
67156.715,BTC,USD,2026-02-18 10:51:25.880408,
4976.89990234375,GC=F,USD,,2026-02-18 10:51:26.055986
63.7599983215332,CL=F,USD,,2026-02-18 10:51:26.240043
76.58999633789062,SI=F,USD,,2026-02-18 10:51:26.434072
67149.995,BTC,USD,2026-02-18 10:51:57.171547,
4977.60009765625,GC=F,USD,,2026-02-18 10:51:57.357269
63.790000915527344,CL=F,USD,,2026-02-18 10:51:57.544746
76.71499633789062,SI=F,USD,,2026-02-18 10:51:57.721741
67119.925,BTC,USD,2026-02-18 10:52:28.475020,
4975.0,GC=F,USD,,2026-02-18 10:52:28.651720
63.779998779296875,CL=F,USD,,2026-02-18 10:52:28.843664
76.6449966430664,SI=F,USD,,2026-02-18 10:52:29.018733
67103.07,BTC,USD,2026-02-18 10:52:59.506673,
4975.2001953125,GC=F,USD,,2026-02-18 10:52:59.685462
63.779998779296875,CL=F,USD,,2026-02-18 10:52:59.859939
76.59500122070312,SI=F,USD,,2026-02-18 10:53:00.038288
67119.485,BTC,USD,2026-02-18 10:53:30.831283,
4975.2001953125,GC=F,USD,,2026-02-18 10:53:31.008977
63.790000915527344,CL=F,USD,,2026-02-18 10:53:31.185102
76.55999755859375,SI=F,USD,,2026-02-18 10:53:31.359859
67082.365,BTC,USD,2026-02-18 10:54:02.137919,
4974.89990234375,GC=F,USD,,2026-02-18 10:54:02.315873
63.79999923706055,CL=F,USD,,2026-02-18 10:54:02.486052
76.6500015258789,SI=F,USD,,2026-02-18 10:54:02.675365
67083.995,BTC,USD,2026-02-18 10:54:33.420995,
4973.60009765625,GC=F,USD,,2026-02-18 10:54:33.599646
63.779998779296875,CL=F,USD,,2026-02-18 10:54:33.772374
76.55999755859375,SI=F,USD,,2026-02-18 10:54:33.969667
67091.995,BTC,USD,2026-02-18 10:55:04.507492,
4976.0,GC=F,USD,,2026-02-18 10:55:04.681823
63.79999923706055,CL=F,USD,,2026-02-18 10:55:04.879448
76.6449966430664,SI=F,USD,,2026-02-18 10:55:05.078717
67102.59,BTC,USD,2026-02-18 10:55:35.619081,
4974.7001953125,GC=F,USD,,2026-02-18 10:55:35.793920
63.83000183105469,CL=F,USD,,2026-02-18 10:55:35.994887
76.61000061035156,SI=F,USD,,2026-02-18 10:55:36.179986
67093.865,BTC,USD,2026-02-18 10:56:06.663909,
4972.39990234375,GC=F,USD,,2026-02-18 10:56:06.841683
63.849998474121094,CL=F,USD,,2026-02-18 10:56:07.020347
76.55000305175781,SI=F,USD,,2026-02-18 10:56:07.223786
67171.025,BTC,USD,2026-02-18 10:56:38.150940,
4972.60009765625,GC=F,USD,,2026-02-18 10:56:38.366091
